,index,Data,EstacaoCodigo,Vazao,NivelConsistencia
127,15190,1981-09-05,87317030,36.8585,2
128,15191,1981-09-06,87317030,17.8226,2
129,15192,1981-09-07,87317030,11.9155,2
130,15193,1981-09-08,87317030,8.1951,2
131,15194,1981-09-09,87317030,6.9057,2
132,15195,1981-09-10,87317030,5.7293,2
133,15196,1981-09-11,87317030,5.4527,2
134,15197,1981-09-12,87317030,6.0128,2
135,15198,1981-09-13,87317030,6.0128,2
136,15199,1981-09-14,87317030,17.3249,2
137,15200,1981-09-15,87317030,11.9155,2
138,15201,1981-09-16,87317030,8.1951,2
139,15202,1981-09-17,87317030,7.2175,2
140,15203,1981-09-18,87317030,6.6011,2
141,15204,1981-09-19,87317030,5.7293,2
142,15205,1981-09-20,87317030,10.3419,2
143,15206,1981-09-21,87317030,58.2766,2
144,15207,1981-09-22,87317030,35.418,2
145,15208,1981-09-23,87317030,70.8718,2
146,15209,1981-09-24,87317030,92.7816,2
147,15210,1981-09-25,87317030,76.0529,2
148,15211,1981-09-26,87317030,48.6034,2
149,15212,1981-09-27,87317030,28.0208,2
150,15213,1981-09-28,87317030,17.8226,2
151,15214,1981-09-29,87317030,30.608,2
152,15215,1981-09-30,87317030,25.5506,2
153,15155,1981-10-01,87317030,17.3249,2
154,15156,1981-10-02,87317030,13.1709,2
155,15157,1981-10-03,87317030,11.1144,2
156,15158,1981-10-04,87317030,9.9663,2
157,15159,1981-10-05,87317030,10.7246,2
158,15160,1981-10-06,87317030,41.3569,2
159,15161,1981-10-07,87317030,42.9154,2
160,15162,1981-10-08,87317030,23.7746,2
161,15163,1981-10-09,87317030,15.8754,2
162,15164,1981-10-10,87317030,11.9155,2
163,15165,1981-10-11,87317030,10.3419,2
164,15166,1981-10-12,87317030,8.8823,2
165,15167,1981-10-13,87317030,7.8621,2
166,15168,1981-10-14,87317030,6.9057,2
167,15169,1981-10-15,87317030,5.7293,2
168,15170,1981-10-16,87317030,5.4527,2
169,15171,1981-10-17,87317030,5.7293,2
170,15172,1981-10-18,87317030,4.9207,2
171,15173,1981-10-19,87317030,4.4166,2
172,15174,1981-10-20,87317030,8.5351,2
173,15175,1981-10-21,87317030,7.2175,2
174,15176,1981-10-22,87317030,5.7293,2
175,15177,1981-10-23,87317030,4.6651,2
176,15178,1981-10-24,87317030,4.175,2
177,15179,1981-10-25,87317030,3.9404,2
178,15180,1981-10-26,87317030,3.492,2
179,15181,1981-10-27,87317030,7.5363,2
180,15182,1981-10-28,87317030,31.9456,2
181,15183,1981-10-29,87317030,18.3274,2
182,15184,1981-10-30,87317030,11.5114,2
183,15185,1981-10-31,87317030,8.5351,2
184,15125,1981-11-01,87317030,6.9057,2
185,15126,1981-11-02,87317030,5.7293,2
186,15127,1981-11-03,87317030,6.9057,2
187,15128,1981-11-04,87317030,17.3249,2
188,15129,1981-11-05,87317030,10.3419,2
189,15130,1981-11-06,87317030,29.9502,2
190,15131,1981-11-07,87317030,42.9154,2
191,15132,1981-11-08,87317030,28.6566,2
192,15133,1981-11-09,87317030,27.3923,2
193,15134,1981-11-10,87317030,18.3274,2
194,15135,1981-11-11,87317030,11.9155,2
195,15136,1981-11-12,87317030,10.3419,2
196,15137,1981-11-13,87317030,8.8823,2
197,15138,1981-11-14,87317030,7.5363,2
198,15139,1981-11-15,87317030,7.5363,2
199,15140,1981-11-16,87317030,9.9663,2
200,15141,1981-11-17,87317030,7.8621,2
201,15142,1981-11-18,87317030,6.3034,2
202,15143,1981-11-19,87317030,5.4527,2
203,15144,1981-11-20,87317030,4.9207,2
204,15145,1981-11-21,87317030,4.4166,2
205,15146,1981-11-22,87317030,3.9404,2
206,15147,1981-11-23,87317030,3.492,2
207,15148,1981-11-24,87317030,3.492,2
208,15149,1981-11-25,87317030,5.7293,2
209,15150,1981-11-26,87317030,4.175,2
210,15151,1981-11-27,87317030,3.492,2
211,15152,1981-11-28,87317030,3.492,2
212,15153,1981-11-29,87317030,4.6651,2
213,15154,1981-11-30,87317030,7.2175,2
214,15094,1981-12-01,87317030,4.4166,2
215,15095,1981-12-02,87317030,3.7127,2
216,15096,1981-12-03,87317030,2.8714,2
217,15097,1981-12-04,87317030,2.4922,2
218,15098,1981-12-05,87317030,2.6784,2
219,15099,1981-12-06,87317030,2.6784,2
220,15100,1981-12-07,87317030,2.6784,2
221,15101,1981-12-08,87317030,2.3129,2
222,15102,1981-12-09,87317030,2.3129,2
223,15103,1981-12-10,87317030,2.3129,2
224,15104,1981-12-11,87317030,1.9749,2
225,15105,1981-12-12,87317030,1.9749,2
226,15106,1981-12-13,87317030,1.9749,2
227,15107,1981-12-14,87317030,1.6642,2
228,15108,1981-12-15,87317030,4.4166,2
229,15109,1981-12-16,87317030,3.492,2
230,15110,1981-12-17,87317030,3.0714,2
231,15111,1981-12-18,87317030,2.3129,2
232,15112,1981-12-19,87317030,1.9749,2
233,15113,1981-12-20,87317030,7.2175,2
234,15114,1981-12-21,87317030,4.9207,2
235,15115,1981-12-22,87317030,8.1951,2
236,15116,1981-12-23,87317030,10.7246,2
237,15117,1981-12-24,87317030,23.7746,2
238,15118,1981-12-25,87317030,14.9451,2
239,15119,1981-12-26,87317030,6.9057,2
240,15120,1981-12-27,87317030,4.9207,2
241,15121,1981-12-28,87317030,4.4166,2
242,15122,1981-12-29,87317030,3.9404,2
243,15123,1981-12-30,87317030,3.492,2
244,15124,1981-12-31,87317030,3.0714,2
245,15063,1982-01-01,87317030,3.0714,2
246,15064,1982-01-02,87317030,3.0714,2
247,15065,1982-01-03,87317030,2.6784,2
248,15066,1982-01-04,87317030,2.6784,2
