,index,Data,EstacaoCodigo,Vazao,NivelConsistencia
0,30741,1940-01-01,86510000,94.3722,2
1,30742,1940-01-02,86510000,89.6868,2
2,30743,1940-01-03,86510000,83.5754,2
3,30744,1940-01-04,86510000,77.6222,2
4,30745,1940-01-05,86510000,79.0955,2
5,30746,1940-01-06,86510000,86.6115,2
6,30747,1940-01-07,86510000,86.6115,2
7,30748,1940-01-08,86510000,91.2389,2
8,30749,1940-01-09,86510000,94.3722,2
9,30750,1940-01-10,86510000,82.0722,2
10,30751,1940-01-11,86510000,71.8303,2
11,30752,1940-01-12,86510000,66.2033,2
12,30753,1940-01-13,86510000,63.4527,2
13,30754,1940-01-14,86510000,68.996,2
14,30755,1940-01-15,86510000,422.2724,2
15,30756,1940-01-16,86510000,1141.0654,2
16,30757,1940-01-17,86510000,815.5806,2
17,30758,1940-01-18,86510000,644.1446,2
18,30759,1940-01-19,86510000,584.0348,2
19,30760,1940-01-20,86510000,433.3994,2
20,30761,1940-01-21,86510000,326.8891,2
21,30762,1940-01-22,86510000,273.0029,2
22,30763,1940-01-23,86510000,215.1546,2
23,30764,1940-01-24,86510000,171.3089,2
24,30765,1940-01-25,86510000,221.8256,2
25,30766,1940-01-26,86510000,904.7667,2
26,30767,1940-01-27,86510000,822.5936,2
27,30768,1940-01-28,86510000,686.4686,2
28,30769,1940-01-29,86510000,529.0517,2
29,30770,1940-01-30,86510000,386.8291,2
30,30771,1940-01-31,86510000,316.8358,2
31,30712,1940-02-01,86510000,273.003,2
32,30713,1940-02-02,86510000,321.8484,2
33,30714,1940-02-03,86510000,386.8291,2
34,30715,1940-02-04,86510000,275.3767,2
35,30716,1940-02-05,86510000,289.7723,2
36,30717,1940-02-06,86510000,242.4499,2
37,30718,1940-02-07,86510000,280.1462,2
38,30719,1940-02-08,86510000,455.9608,2
39,30720,1940-02-09,86510000,337.0538,2
40,30721,1940-02-10,86510000,249.5284,2
41,30722,1940-02-11,86510000,177.267,2
42,30723,1940-02-12,86510000,156.8591,2
43,30724,1940-02-13,86510000,253.1058,2
44,30725,1940-02-14,86510000,221.8256,2
45,30726,1940-02-15,86510000,154.0456,2
46,30727,1940-02-16,86510000,156.8591,2
47,30728,1940-02-17,86510000,156.8591,2
48,30729,1940-02-18,86510000,265.9258,2
49,30730,1940-02-19,86510000,370.8473,2
50,30731,1940-02-20,86510000,854.4158,2
51,30732,1940-02-21,86510000,815.5805,2
52,30733,1940-02-22,86510000,763.67,2
53,30734,1940-02-23,86510000,529.0517,2
54,30735,1940-02-24,86510000,386.8291,2
55,30736,1940-02-25,86510000,297.0677,2
56,30737,1940-02-26,86510000,256.7087,2
57,30738,1940-02-27,86510000,198.9225,2
58,30739,1940-02-28,86510000,168.368,2
59,30740,1940-02-29,86510000,137.6989,2
60,30681,1940-03-01,86510000,119.7864,2
61,30682,1940-03-02,86510000,110.1108,2
62,30683,1940-03-03,86510000,100.8426,2
63,30684,1940-03-04,86510000,94.3722,2
64,30685,1940-03-05,86510000,91.2389,2
65,30686,1940-03-06,86510000,99.1437,2
66,30687,1940-03-07,86510000,95.9532,2
67,30688,1940-03-08,86510000,80.5788,2
68,30689,1940-03-09,86510000,85.0886,2
69,30690,1940-03-10,86510000,86.6115,2
70,30691,1940-03-11,86510000,103.1214,2
71,30692,1940-03-12,86510000,186.3952,2
72,30693,1940-03-13,86510000,110.1108,2
73,30694,1940-03-14,86510000,180.2843,2
74,30695,1940-03-15,86510000,297.0677,2
75,30696,1940-03-16,86510000,225.1994,2
76,30697,1940-03-17,86510000,148.4949,2
77,30698,1940-03-18,86510000,114.8976,2
78,30699,1940-03-19,86510000,95.9532,2
