EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
87317030;1;01/04/2023;;1;1;13,6582;3,201;5,0176;17;13;1;1;1;0;0;4,0161;3,8753;3,4648;3,4648;3,4648;3,4648;4,0161;4,598;5,0541;4,4497;3,8753;3,4648;3,201;3,7365;7,3937;7,7553;13,6582;7,9385;6,1813;5,3673;4,3033;4,0161;4,0161;3,7365;3,5997;4,3033;8,8791;6,1813;4,7482;4,3033;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0
87317030;1;01/03/2023;;1;1;296,6881;2,2284;29,7813;6;2;1;1;1;0;0;2,5773;2,2284;4,4497;39,5175;48,1338;296,6881;183,5655;103,5666;57,1369;29,0664;19,3306;15,2865;12,5481;10,0604;8,1234;7,2155;6,5192;6,015;5,3673;4,7482;4,4497;4,4497;6,6907;6,8639;5,2098;8,3099;6,6907;5,0541;4,4497;4,7482;4,1587;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;1;01/02/2023;;1;1;36,5832;1,3971;3,869;21;11;1;1;1;0;0;2,9453;2,4589;2,1165;2,3426;2,1165;1,8994;1,7942;1,5909;1,5909;1,5909;1,3971;1,3971;1,3971;1,3971;2,4589;2,3426;1,7942;1,5909;1,4928;1,6914;36,5832;10,6621;5,8504;4,4497;4,1587;3,3319;2,9453;2,9453;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
87317030;1;01/01/2023;;1;1;14,8124;1,6914;4,1787;19;10;1;1;1;0;0;2,0068;2,0068;5,2098;3,5997;2,3426;2,2284;2,0068;2,0068;1,7942;1,6914;2,2284;2,3426;2,2284;3,4648;2,4589;2,0068;2,0068;2,4589;14,8124;14,8124;9,8596;11,0687;5,5265;4,3033;3,201;2,8206;2,3426;2,4589;6,1813;4,598;3,4648;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;1;01/12/2022;;1;1;72,5985;2,2284;14,4798;5;31;1;1;1;0;0;22,0837;25,9197;39,5175;50,622;72,5985;67,7357;39,5175;22,3685;11,9034;7,5737;6,015;5,2098;4,4497;4,1587;4,0161;3,4648;4,0161;3,201;11,0687;8,6877;5,0541;3,8753;3,3319;3,0721;2,8206;3,0721;3,0721;2,9453;2,6979;2,5773;2,2284;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;1;01/11/2022;;1;1;33,0657;2,6979;8,1872;1;20;1;1;1;0;0;33,0657;16,0107;11,0687;8,1234;6,8639;5,8504;7,0389;11,9034;13,6582;9,8596;7,5737;6,3494;5,5265;4,9002;6,015;4,7482;3,7365;3,3319;2,8206;2,6979;2,6979;3,201;11,4825;5,6876;4,3033;3,3319;3,201;5,8504;20,1384;14,5781;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
87317030;1;01/10/2022;;1;1;24,7086;3,0721;9,475;22;5;1;1;1;0;0;4,598;4,1587;3,5997;3,3319;3,0721;3,201;7,9385;6,6907;4,7482;4,0161;20,6856;11,4825;7,9385;7,0389;11,2747;15,0486;14,3454;12,9868;17,5064;13,4326;12,3314;24,7086;17,0008;11,0687;9,072;7,3937;6,3494;5,3673;5,0541;7,2155;11,0687;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;1;01/09/2022;;1;1;19,5981;3,201;6,211;23;14;1;1;1;0;0;4,7482;4,598;6,1813;5,3673;4,4497;4,0161;4,0161;4,0161;3,7365;15,2865;9,8596;5,2098;3,4648;3,201;3,5997;5,6876;4,598;4,0161;3,7365;5,8504;5,3673;13,2088;19,5981;10,8645;7,5737;6,3494;5,5265;4,4497;4,0161;3,7365;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
87317030;1;01/08/2022;;1;1;134,3752;5,2098;19,368;10;31;1;1;1;0;0;8,498;7,3937;6,6907;6,1813;7,3937;7,0389;6,015;11,0687;43,7257;134,3752;67,7357;41,0245;27,4718;18,8007;16,2556;41,788;25,0088;16,7507;14,5781;12,7666;10,6621;9,2666;8,498;7,5737;7,0389;6,3494;5,8504;6,5192;6,8639;6,015;5,2098;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;1;01/07/2022;;1;1;55,4185;5,0541;13,3417;15;11;1;1;1;0;0;13,2088;10,0604;9,2666;8,6877;7,9385;7,0389;6,3494;6,3494;6,1813;5,8504;5,0541;8,1234;9,2666;10,2627;55,4185;33,4099;33,4099;22,9433;13,8855;12,3314;10,2627;9,2666;7,5737;6,6907;5,8504;5,6876;5,5265;5,3673;40,6453;20,4111;11,2747;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;1;01/06/2022;;1;1;91,6096;6,5192;23,2625;24;17;1;1;1;0;0;16,5022;14,3454;11,692;11,9034;12,7666;10,6621;23,8182;35,1561;25,9197;18,2777;14,8124;12,3314;10,6621;8,8791;8,1234;7,3937;6,5192;30,0435;51,4646;29,7161;20,1384;14,1146;23,5249;91,6096;47,3175;41,0245;36,5832;24,7086;19,0648;18,8007;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
87317030;1;01/05/2022;;1;1;161,8718;5,2098;34,8172;18;1;1;1;1;0;0;5,2098;8,6877;98,2037;85,1411;91,6096;44,1182;23,5249;18,5383;13,2088;10,4615;18,0189;15,0486;10,6621;8,3099;8,3099;12,3314;13,2088;161,8718;134,3752;77,5508;42,5581;23,2332;17,0008;13,8855;11,692;9,8596;8,6877;8,1234;15,2865;45,3056;25,3107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87317030;1;01/04/2022;;1;1;16,2556;3,3319;6,87;4;27;1;1;1;0;0;5,6876;4,7482;4,598;16,2556;13,2088;9,072;7,0389;6,5192;8,3099;11,0687;8,3099;7,7553;7,0389;14,5781;9,8596;7,9385;6,8639;6,1813;5,5265;4,9002;4,3033;4,0161;3,7365;3,5997;3,4648;3,4648;3,3319;3,3319;5,2098;6,1813;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
87317030;1;01/03/2022;;1;1;55,9897;2,0068;10,2583;25;1;1;1;1;0;0;2,0068;4,4497;3,5997;2,4589;2,0068;2,4589;4,9002;4,1587;3,4648;3,8753;11,9034;17,2527;10,8645;12,9868;13,8855;11,0687;8,1234;6,1813;4,4497;4,9002;6,6907;5,2098;4,598;48,5444;55,9897;20,9618;12,1165;7,5737;6,3494;7,0389;7,9385;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;1;01/02/2022;;1;1;20,1384;1,7942;3,8674;5;27;1;1;1;0;0;4,3033;4,0161;3,7365;3,3319;20,1384;9,4627;5,8504;4,9002;4,0161;4,0161;3,3319;3,0721;2,9453;2,9453;2,9453;2,5773;2,2284;2,2284;2,0068;2,0068;2,0068;3,3319;2,9453;2,3426;2,0068;2,0068;1,7942;1,7942;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
87317030;1;01/01/2022;;1;1;35,1561;1,5909;6,7182;18;2;1;1;1;0;0;1,8994;1,5909;1,5909;1,5909;2,3426;27,7873;9,4627;4,9002;3,8753;3,3319;3,0721;2,6979;2,4589;2,1165;2,0068;4,9002;6,5192;35,1561;10,6621;6,5192;4,9002;4,3033;3,4648;3,3319;3,0721;2,5773;8,8791;21,2397;9,4627;6,8639;5,6876;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87317030;2;01/12/2021;;1;1;31,95;2;7,13;7;30;1;1;1;;;2,8933;4,5202;3,3986;3,3986;2,8933;9,996;31,9474;10,8731;7,1957;6,1258;4,5202;3,9411;3,3986;3,3986;22,4458;10,8731;6,8303;21,8619;14,7171;9,153;6,4736;4,5202;3,9411;3,9411;3,3986;2,8933;2,8933;2,4256;2,206;1,996;1,996;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;2;01/11/2021;;1;1;9,15;2,43;4,39;19;16;1;1;1;;;3,9411;3,6652;3,6652;4,8233;4,226;3,6652;6,4736;5,1355;3,9411;3,3986;3,1413;3,1413;3,1413;2,8933;2,6547;2,4256;6,8303;6,8303;9,153;7,5698;5,1355;3,9411;2,6547;2,4256;2,4256;3,1413;6,8303;6,1258;4,226;3,9411;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87317030;2;01/10/2021;;1;1;103,52;4,23;16,5;1;28;1;1;1;;;103,5202;46,1557;32,6293;25,4595;19,0384;14,7171;12,252;10,4304;9,5702;11,3244;10,4304;9,996;9,153;7,1957;8,7442;31,2715;33,3171;21,2844;15,761;12,252;10,4304;8,7442;7,5698;6,8303;6,1258;5,4567;4,8233;4,226;4,226;4,226;4,226;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;2;01/09/2021;;1;1;94,66;5,14;22,07;20;4;1;1;1;;;6,8303;5,7868;5,4567;5,1355;7,1957;6,1258;40,6373;89,2862;34,7103;20,1485;15,2349;11,784;14,2075;61,6452;31,2715;19,5903;15,2349;15,761;13,2131;94,6582;39,1141;21,8619;16,2952;13,2131;11,3244;9,5702;8,3441;7,1957;7,5698;13,7062;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87317030;2;01/08/2021;;1;1;80,96;2,89;10;26;4;1;1;1;;;3,1413;3,1413;3,1413;2,8933;2,8933;2,8933;2,8933;2,8933;2,8933;3,1413;2,8933;2,8933;3,9411;3,6652;3,3986;3,3986;3,1413;6,4736;9,5702;5,7868;5,1355;3,9411;3,6652;9,5702;53,6702;80,9619;34,7103;14,7171;11,3244;9,153;7,9526;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;2;01/07/2021;;1;1;16,3;3,94;6,35;1;30;1;1;2;;;16,2952;11,3244;10,4304;9,5702;9,153;8,3441;7,1957;6,4736;6,4736;5,4567;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;6,4736;4,5202;3,9411;3,9411;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;1;1
87317030;2;01/06/2021;;1;1;75,93;6,47;18,82;27;25;1;1;1;;;17,3882;12,7284;10,4304;9,5702;8,7442;7,9526;8,7442;9,5702;19,5903;51,1136;46,9675;27,9819;18,4931;14,2075;12,252;10,4304;9,153;8,3441;12,252;12,252;11,3244;9,153;8,7442;7,9526;6,4736;20,7133;75,9306;43,7553;29,2797;23,036;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87317030;2;01/05/2021;;1;1;122,21;5,14;13,5;29;1;1;1;1;;;5,1355;5,1355;5,1355;5,1355;5,7868;6,4736;5,7868;6,1258;6,4736;6,1258;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,7868;13,2131;26,0809;21,8619;13,2131;10,8731;8,3441;24,8443;122,2113;39,1141;24,2353;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;2;01/04/2021;;1;1;16,84;5,14;7,5;22;9;1;1;1;;;7,1957;8,7442;13,2131;12,252;10,4304;7,1957;6,4736;6,1258;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;13,2131;16,8376;14,2075;12,252;8,3441;6,4736;5,1355;5,1355;5,1355;5,1355;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87317030;2;01/03/2021;;1;1;34,71;5,14;9,22;5;3;1;1;1;;;8,7442;6,4736;5,1355;6,4736;34,7103;20,7133;15,2349;9,5702;12,7284;26,7084;14,2075;8,7442;7,1957;6,1258;5,7868;5,1355;7,9526;12,252;7,1957;5,1355;5,1355;5,4567;5,7868;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,7868;6,4736;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;2;01/02/2021;;1;1;60,74;5,14;12,52;5;18;1;1;1;;;13,2131;16,2952;27,9819;44,5495;60,7367;33,3171;17,3882;12,7284;8,7442;9,153;7,5698;6,4736;6,1258;7,1957;7,5698;6,4736;5,7868;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,7868;7,1957;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;
87317030;2;01/01/2021;;1;1;17,95;5,14;7,08;31;1;1;1;1;;;5,1355;5,1355;5,1355;5,1355;6,4736;9,5702;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;6,4736;13,7062;13,2131;5,7868;5,1355;5,1355;7,1957;7,9526;6,4736;7,1957;7,5698;6,4736;6,4736;6,8303;13,2131;17,9544;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;2;01/12/2020;;1;1;34,71;5,14;9,37;8;22;1;1;1;;;7,1957;6,4736;19,5903;11,3244;12,7284;16,2952;31,9474;34,7103;17,9544;7,5698;5,7868;5,7868;7,1957;12,7284;7,5698;5,7868;5,7868;5,7868;5,7868;5,7868;5,4567;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;5,1355;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;2;01/11/2020;;1;1;21,28;4,82;7,13;17;1;1;;1;;;4,8233;4,8233;6,1258;12,252;6,8303;4,8233;4,8233;4,8233;6,8303;7,9526;5,7868;4,8233;4,8233;4,8233;4,8233;6,8303;21,2844;9,153;5,1355;4,8233;4,8233;4,8233;4,8233;4,8233;4,8233;4,8233;8,3441;16,2952;14,7171;9,153;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87317030;2;01/10/2020;;1;1;104,65;4,82;17,67;4;18;1;1;1;;;29,3404;18,0411;23,7169;104,6508;64,4039;42,9669;30,6016;24,2353;18,4931;15,2349;14,2075;12,252;10,4304;8,7442;7,9526;7,1957;5,1355;4,8233;4,8233;4,8233;4,8233;12,252;11,3244;6,8303;4,8233;4,8233;27,3421;9,153;4,8233;4,8233;4,8233;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;2;01/09/2020;;1;1;138,45;4,58;30,58;8;26;1;1;1;;;10,6188;10,1823;12,4396;14,8796;17,4969;23,0488;82,5938;138,4458;77,0564;52,7305;43,7369;52,7305;52,7305;42,8759;31,5747;41,175;33,8762;32,3345;23,0488;18,0411;13,882;11,5144;10,1823;8,1145;4,8955;4,5797;7,7243;10,1823;8,9184;25,7679;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87317030;2;01/08/2020;;1;1;33,1;8,11;14,24;16;10;1;1;1;;;13,394;12,9131;12,4396;11,0629;10,1823;9,7533;8,9184;8,5125;8,5125;8,1145;8,1145;17,4969;28,6107;21,0921;28,6107;33,1016;22,3887;18,0411;18,5954;18,0411;16,4291;14,3773;12,9131;11,5144;10,6188;9,7533;9,332;8,5125;8,1145;11,5144;10,6188;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;2;01/07/2020;;1;1;461,73;12,91;60,45;8;27;1;1;1;;;85,9919;56,5198;27,8885;21,0921;16,4291;15,9056;96,5218;461,7253;113,9153;73,8102;56,5198;209,3898;103,8178;74,8859;49,0501;44,605;62,4052;46,3621;36,2439;30,8225;25,7679;21,7364;18,0411;15,9056;14,8796;13,394;12,9131;19,2074;16,9595;15,9056;15,3891;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;2;01/06/2020;;1;1;271,85;1,69;13,74;30;3;1;1;1;;;1,8109;1,8109;1,692;1,692;1,8109;3,9745;5,2199;4,2727;3,405;2,8723;6,6017;4,8955;42,8759;9,7533;6,2438;5,5528;4,8955;3,9745;3,405;2,8723;2,3774;2,3774;2,3774;2,1891;2,0595;2,0595;2,3774;2,3774;2,3774;271,8471;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87317030;2;01/05/2020;;1;1;12,44;1,15;3,07;22;9;1;1;1;;;1,5767;1,3569;1,2526;1,2526;1,2526;1,2526;1,2526;1,2526;1,152;1,152;1,152;1,692;3,405;3,405;2,8723;2,1891;1,9334;1,5767;1,465;1,465;1,3569;12,4396;11,5144;11,5144;8,9184;4,5797;2,62;2,3774;2,1891;1,9334;1,8109;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;2;01/04/2020;;1;1;21,09;1,46;2,56;1;14;;1;1;;;21,0921;5,2199;2,62;2,62;2,3774;2,1891;2,0595;1,9334;1,8109;1,692;1,692;1,692;1,5767;1,465;1,5767;1,5767;1,5767;1,5767;1,5767;1,5767;1,5767;1,5767;1,5767;1,5767;1,5767;1,465;1,8109;2,8723;1,8109;1,5767;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87317030;2;01/03/2020;;1;1;2,62;1,58;1,82;1;24;1;1;1;;;2,62;2,3774;2,3774;2,1891;2,0595;1,9334;1,9334;1,8109;1,8109;1,8109;1,692;1,692;1,692;1,692;1,692;1,692;1,8109;2,0595;1,9334;1,8109;1,692;1,692;1,692;1,5767;1,5767;1,5767;1,5767;1,5767;1,5767;1,5767;1,5767;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;2;01/02/2020;;1;1;16,43;2,06;4,21;9;22;1;1;1;;;5,5528;3,134;2,8723;2,1891;2,3774;2,3774;2,1891;2,3774;16,4291;9,7533;8,1145;5,5528;4,2727;3,405;3,134;2,8723;2,62;2,3774;2,3774;2,3774;2,3774;2,0595;2,0595;2,0595;3,6852;12,9131;4,5797;3,134;2,8723;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
87317030;2;01/01/2020;;1;1;67,49;1,36;9,03;11;1;1;1;1;;;1,3569;2,1891;14,8796;16,9595;16,4291;10,1823;4,8955;3,134;2,1891;10,1823;67,4916;27,174;18,5954;13,394;11,0629;7,7243;4,8955;3,6852;2,8723;2,62;2,62;2,62;3,134;3,405;2,62;2,3774;2,3774;2,3774;3,134;4,8955;8,5125;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;2;01/12/2019;;1;1;3,69;1,25;2,01;8;31;1;1;1;;;2,62;2,3774;2,3774;2,1891;2,3774;2,3774;2,62;3,6852;3,6852;2,8723;2,3774;2,3774;2,3774;2,0595;2,0595;2,0595;1,8109;1,8109;1,5767;1,5767;1,5767;1,3569;1,3569;1,3569;1,3569;1,3569;1,3569;1,3569;1,3569;1,3569;1,2526;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
